wine_id,type,type_id
1,Toro Red,1
2,Tempranillo,2
3,Ribera Del Duero Red,3
4,Ribera Del Duero Red,4
5,Ribera Del Duero Red,5
6,Ribera Del Duero Red,6
7,Ribera Del Duero Red,7
8,Ribera Del Duero Red,8
9,Ribera Del Duero Red,9
10,Ribera Del Duero Red,10
11,Ribera Del Duero Red,11
12,Ribera Del Duero Red,12
13,Ribera Del Duero Red,13
14,Ribera Del Duero Red,14
15,Pedro Ximenez,15
16,Ribera Del Duero Red,16
17,Ribera Del Duero Red,17
18,Ribera Del Duero Red,18
19,Red,19
20,Ribera Del Duero Red,20
21,Sherry,21
22,Ribera Del Duero Red,22
23,Ribera Del Duero Red,23
24,Pedro Ximenez,24
25,Ribera Del Duero Red,25
26,Ribera Del Duero Red,26
27,Pedro Ximenez,27
28,Priorat Red,28
29,Ribera Del Duero Red,29
30,Ribera Del Duero Red,30
31,Toro Red,31
32,Ribera Del Duero Red,32
33,Pedro Ximenez,33
34,Ribera Del Duero Red,34
35,Ribera Del Duero Red,35
36,Toro Red,36
37,Ribera Del Duero Red,37
38,Toro Red,38
39,Priorat Red,39
40,Rioja Red,40
41,Toro Red,41
42,Priorat Red,42
43,Toro Red,43
44,Red,44
45,Rioja Red,45
46,Priorat Red,46
47,Ribera Del Duero Red,47
48,Ribera Del Duero Red,48
49,Ribera Del Duero Red,49
50,Ribera Del Duero Red,50
51,Ribera Del Duero Red,51
52,Ribera Del Duero Red,52
53,Ribera Del Duero Red,53
54,Ribera Del Duero Red,54
55,Ribera Del Duero Red,55
56,Ribera Del Duero Red,56
57,Ribera Del Duero Red,57
58,Ribera Del Duero Red,58
59,Ribera Del Duero Red,59
60,Ribera Del Duero Red,60
61,Ribera Del Duero Red,61
62,Ribera Del Duero Red,62
63,Ribera Del Duero Red,63
64,Ribera Del Duero Red,64
65,Ribera Del Duero Red,65
66,Ribera Del Duero Red,66
67,Ribera Del Duero Red,67
68,Ribera Del Duero Red,68
69,Ribera Del Duero Red,69
70,Ribera Del Duero Red,70
71,Red,71
72,Red,72
73,Ribera Del Duero Red,73
74,Rioja White,74
75,Red,75
76,Red,76
77,Rioja Red,77
78,Ribera Del Duero Red,78
79,Ribera Del Duero Red,79
80,Ribera Del Duero Red,80
81,Ribera Del Duero Red,81
82,Ribera Del Duero Red,82
83,Ribera Del Duero Red,83
84,Ribera Del Duero Red,84
85,Ribera Del Duero Red,85
86,Red,86
87,Toro Red,87
88,Toro Red,88
89,Ribera Del Duero Red,89
90,Tempranillo,90
91,Rioja Red,91
92,Rioja Red,92
93,Ribera Del Duero Red,93
94,Rioja Red,94
95,Ribera Del Duero Red,95
96,Ribera Del Duero Red,96
97,Ribera Del Duero Red,97
98,Ribera Del Duero Red,98
99,Ribera Del Duero Red,99
100,Ribera Del Duero Red,100
101,Priorat Red,101
102,Toro Red,102
103,Ribera Del Duero Red,103
104,Ribera Del Duero Red,104
105,Ribera Del Duero Red,105
106,Priorat Red,106
107,Toro Red,107
108,Ribera Del Duero Red,108
109,Ribera Del Duero Red,109
110,Grenache,110
111,Ribera Del Duero Red,111
112,Pedro Ximenez,112
113,Ribera Del Duero Red,113
114,Rioja Red,114
115,Ribera Del Duero Red,115
116,Toro Red,116
117,Toro Red,117
118,Rioja Red,118
119,Ribera Del Duero Red,119
120,Priorat Red,120
121,,121
122,Ribera Del Duero Red,122
123,Rioja Red,123
124,Priorat Red,124
125,Red,125
126,Priorat Red,126
127,Ribera Del Duero Red,127
128,Priorat Red,128
129,Priorat Red,129
130,Cava,130
131,Ribera Del Duero Red,131
132,Priorat Red,132
133,Ribera Del Duero Red,133
134,Sherry,134
135,Rioja Red,135
136,Sherry,136
137,Red,137
138,Pedro Ximenez,138
139,Rioja Red,139
140,Rioja Red,140
141,Pedro Ximenez,141
142,Toro Red,142
143,Pedro Ximenez,143
144,Sherry,144
145,Grenache,145
146,Ribera Del Duero Red,146
147,Tempranillo,147
148,,148
149,Cava,149
150,Tempranillo,150
151,Ribera Del Duero Red,151
152,Red,152
153,Ribera Del Duero Red,153
